지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),지면상태(지면상태코드),지면온도(°C)
108,서울,2024-01-01 01:00,.5,,2.2,50,97,1015.6,,2.4,,0,0,,-.2
108,서울,2024-01-01 02:00,.4,,.4,0,98,1016.2,,2.4,,6,2,,-.3
108,서울,2024-01-01 03:00,-.1,,1.7,20,98,1016.6,,2.4,,1,1,,-.3
108,서울,2024-01-01 04:00,-.2,,2.2,20,98,1016.8,,2.4,,6,6,,-.3
108,서울,2024-01-01 05:00,.3,,1.2,90,99,1017.2,,2.4,,8,8,,-.2
108,서울,2024-01-01 06:00,.5,,2,50,99,1017.2,,2.4,,8,8,,-.2
108,서울,2024-01-01 07:00,.4,,2.1,70,98,1017.5,,2.4,,4,4,,-.2
108,서울,2024-01-01 08:00,.2,,.8,70,98,1017.9,0,2.4,,4,4,,-.3
108,서울,2024-01-01 09:00,.6,,1.3,50,99,1018.2,.5,2.4,,1,1,,-.3
108,서울,2024-01-01 10:00,2.4,,1.4,70,95,1018.6,1,2.4,,1,0,,-.2
108,서울,2024-01-01 11:00,4.4,,2,70,82,1018.3,1,2.2,,2,0,,-.2
108,서울,2024-01-01 12:00,5.7,,2.3,90,73,1017.7,1,1.7,,4,0,,-.2
108,서울,2024-01-01 13:00,7.3,,1.6,110,70,1016.6,.8,.9,,7,7,,-.2
108,서울,2024-01-01 14:00,6.5,,2.1,180,68,1015.8,0,.5,,9,9,,-.1
108,서울,2024-01-01 15:00,6.4,,1.2,160,68,1015.4,0,.2,,9,9,,0
108,서울,2024-01-01 16:00,5.8,,2.2,180,68,1015.3,0,,,9,9,,0
108,서울,2024-01-01 17:00,5.5,,2.3,200,71,1015,0,,,9,9,,0
108,서울,2024-01-01 18:00,4.9,,1.1,230,71,1015,0,,,9,9,,-.1
108,서울,2024-01-01 19:00,4.6,,1.3,270,72,1014.7,,,,9,9,,-.1
108,서울,2024-01-01 20:00,4.4,,1.3,270,75,1014.6,,,,1,1,,-.1
108,서울,2024-01-01 21:00,4.3,0,1.7,290,77,1014.5,,,,9,9,,-.1
108,서울,2024-01-01 22:00,4.1,,1.5,250,79,1014.6,,,,9,9,,0
108,서울,2024-01-01 23:00,3.9,,2,270,82,1014.4,,,,9,9,,0
108,서울,2024-01-02 00:00,3.7,0,1.7,290,82,1014.2,,,,10,9,,-.1
108,서울,2024-01-02 01:00,3.5,,1.1,270,85,1013.6,,,,10,9,,-.1
108,서울,2024-01-02 02:00,3.3,,2,270,86,1013.5,,,,9,9,,0
108,서울,2024-01-02 03:00,3,0,2.2,270,80,1013.5,,,,8,8,,-.2
108,서울,2024-01-02 04:00,2.8,,.4,0,82,1012.9,,,,8,8,,-.2
108,서울,2024-01-02 05:00,2.4,,.1,0,84,1012.3,,,,8,8,,-.1
108,서울,2024-01-02 06:00,2.3,,.6,340,84,1012.2,,,,9,9,,-.1
108,서울,2024-01-02 07:00,2.2,,.3,0,82,1012.3,,,,9,9,,-.1
108,서울,2024-01-02 08:00,2.3,,1.4,290,77,1012.4,0,,,9,9,,-.1
108,서울,2024-01-02 09:00,2.3,0,1.8,270,75,1012.6,0,,,9,9,,-.1
108,서울,2024-01-02 10:00,2.7,,2.2,250,74,1012.8,0,,,9,9,,-.1
108,서울,2024-01-02 11:00,3.1,,1.6,290,73,1012.4,0,,,9,9,,.7
108,서울,2024-01-02 12:00,3.6,,1.7,290,72,1011.8,0,,,9,9,,1.4
108,서울,2024-01-02 13:00,4,,1.7,270,68,1011.2,0,,,9,9,,2.5
108,서울,2024-01-02 14:00,4.1,,1.7,270,63,1010.7,0,,,9,9,,2.4
108,서울,2024-01-02 15:00,3.9,,2.4,270,62,1010.6,.1,,,9,4,,1.7
108,서울,2024-01-02 16:00,4,,1.9,290,62,1010.4,.2,,,9,9,,1.4
108,서울,2024-01-02 17:00,3.5,,1.2,270,63,1010.1,0,,,9,9,,-.2
108,서울,2024-01-02 18:00,3.2,,1.2,290,64,1010.4,0,,,9,9,,-.1
108,서울,2024-01-02 19:00,2.9,,1.6,290,70,1010.3,,,,10,3,,-.1
108,서울,2024-01-02 20:00,2.4,,1.3,320,70,1010.4,,,,10,1,,-.1
108,서울,2024-01-02 21:00,2.3,,2.1,290,72,1010.4,,,,9,2,,-.1
